,teacher,heart,reviewer,date,kinds,content_title,review_title,content,rated
0,남치열,1667,이*빈,23.10.27,87,[2024 파이널 체크포인트] 미적분,2024 약점공략,2024 약점공략 강의노트가 이상합니다! 확인해주세요!!,5점
1,남치열,1667,전*연,23.10.21,104,[2024 파이널 체크포인트] 미적분,마무리 정리 하기에 좋을듯!,"스스로 6평, 9평을 다시한번 봐야겠다고 생각했는데,
막상 하려니 언제다보나... 엄두가 안났었는데
선생님과 같이 하나씩 보면 된다고 생각하니까 다시 힘이 납니다! 감사해요!!
 남은 한달도 열심히 수강 해서 좋은 결과 얻겠습니다!!",5점
2,남치열,1667,김*재,23.10.18,58,[2024 파이널 체크포인트] 미적분,감사합니다,멋진 강의 감사합니다,스페셜
3,남치열,1667,이*영,23.09.18,277,[2024 만점마무리 시즌2] 수학,예뻐서,좋다,스페셜
4,남치열,1667,변*윤,23.09.14,278,[2024 만점마무리 시즌2] 수학,모든선생님께~),"선생님저*윤이에요.  )전 고2에요.
선생님 즐거운하루/저녁보내세요.~^^~ )",5점
5,남치열,1667,이*빈,23.08.09,29,[2024 수능완성] 남치열의 수학+미적분(유형편),남치열 선생님은 수학 최고의 강사!!,"이해가 정말 잘되고 문제풀이 팁이나 접근 방법을 너무 자세히 알려주셔서 많은 도움 되고 있습니다! 정말 감사합니다!
수학 1등급 받기위해 계속 선생님 강의 들으면서 열심히 하겠습니다!!",5점
6,남치열,1667,김*정,23.07.30,24,[2024 수능완성] 남치열의 수학+미적분(유형편),일요일,학습 합니다,5점
7,남치열,1667,김*우,23.07.25,48,[2024 수능완성] 남치열의 수학+미적분(유형편),저의 수학을 포기하지않게 만들어주신 치열쌤,"수학 공부를 하기전
나는 수학은 망했어
수학 공부를 한 후 
이렇게 재미있는걸 왜 지금 알았지?
이과갈걸 그랬나?
제가 왜 이렇게 재미있는걸 이제 하고있다니 통탄스럽습니다
선생님 적분법은 Lemma랑 이것이 연계다 안 올리시나요..?
실전편까지 같이 하고싶습니다만....
선생님 38강 21번 문제 오답같은데...",5점
8,남치열,1667,배*진,23.07.24,162,[2024 수능완성] 남치열의 수학+미적분(유형편),미적분 Lemma문항,"미적분의 적분법 파트 Lemma문항파일이 업로드가 안 되어있어 문의 드립니다.
확인 후 업로드해 주시면 감사하겠습니다^^",스페셜
9,남치열,1667,임*이,23.07.23,36,[2024 수능완성] 남치열의 수학+미적분(유형편),선생님 덕분에 수업 너무 잘듣고 있습니다.,"ebs로만 수능준비하는 저로서는 선생님이 저한테는 빛과 같은 존재이십니다.

수업 너무 잘듣고 있고 작년 11월무렵(기억이 가물가물..)부터 선생님 강의 듣기 시작한것 같은데 

수학실력이 향샹되는게 느껴지고 lemma, 이것이 연계다, 한걸음더, 다양한 풀이 등등 내용을 너무 쫀쫀하게 묶어주시니까

처음에는 풀기 급급해서 안보였는데 선생님 커리를 계속 타니까 탄탄하게 배워갈 수 있어서 너무 감사드립니다.

항상 감사한 마음으로 수업듣고 있고 이번 2024수능완성은 선별해서 듣기 시작했습니다.

이전까지는 전수업을 한강의도 안빼고 다 들었습니다. (2023년수능특강, 2023수능완성, 수능개념(역함수에서 포기..ㅠ.ㅠ 초기여서 어려워서.. 죄송.. ), 2024년 수능특강, 2024완성

선생님이 모든 강의를 해주시면 너무 좋겠다는 생각을 하곤 합니다.^^;;

올해 2등급, 내년 1등급노리고 있습니다. 지금 2등급후반에서 3등급 초반정도 되는 것 같습니다.

저번에 아프시다고 해서 맘이 안 좋았습니다. 너무 열심히 가르쳐주시고 싶은 마음에 건강을 놓치신것 같아서 걱정되고 저는 도움만 받는 느낌이라 죄송했습니다.

저도 요즘 체력이 많이 떨어져서 체력관리가 쉽지 않네요.

선생님도 건강관리 잘하시고 항상 건강한 모습으로 뵈면 좋을 것 같습니다.

좋은 성적 받고 다시 뵐 수 있었으면 좋겠습니다.

그럼 다시 공부하러 가겠습니다.

선생님 화이팅!!",스페셜
