,teacher,heart,reviewer,date,kinds,content_title,review_title,content,rated
0,정승제,23737,김*준,23.10.12,273,[2024 수능특강] 정승제의 확률과 통계,얼굴을 가리고 수업하는 강사가 있다?,쌤 얼굴돌려놔요,5점
1,정승제,23737,김*준,23.10.12,178,[2024 수능특강] 정승제의 확률과 통계,잘가~,이걸 재연할줄은 몰랐지,5점
2,정승제,23737,조*슬,23.10.10,155,[2024 수능특강] 정승제의 확률과 통계,생선님 최고,"강의력이 정말 엄청나시고... 이런저런 예시를 찰떡같이 들어주시는 덕에 개념이 머릿속에 쏙쏙 들어와요
들을 때마다 개안하는 느낌...!!
이제는 문제 풀 때마다 생선님 목소리가 들릴 정도 ㅋㅋㅋㅋㅋㅋ 나도 모르게 호텔에 사람을 막 넣게 되는 마법
모두 생선님 하세요!!!",스페셜
3,정승제,23737,최*원,23.10.09,278,[2024 수능특강] 정승제의 확률과 통계,추가 강의,"나머지 4개 강의 9월 모의고사 이후에 통합으로 내주신다고 했는데, 언제쯤 나오나요?",스페셜
4,정승제,23737,강*라,23.10.09,156,[2024 수능특강] 정승제의 확률과 통계,미적분 선택자지만 들으러 왔습니다.,제 학원쌤이 정승제쌤이랑 엄청 친하다고.. ㅋㅋㅋㅋ그래서 너무 궁금해서 찾아와봤습니다. 진짜 선택안한 확통이긴 하지만 논술겸 호기심겸 와봤는데 진짜 강의력 대단하십니다…………… ,5점
5,정승제,23737,윤*민,23.10.07,185,[2024 수능특강] 정승제의 확률과 통계,생선님 감사합니다.,"26살 수강생입니다.

솔직히 수능 공부할 때는 현강을 선호하던 타입이라 애초에 인강을 안들었기에 생선님 성함만 달고 강의는 들어보지 않았습니다.

대학도 졸업하고 전공 살려서 근무를 하다가 직무를 바꿔보려고 퇴사 후 자격증을 따려고 공부해보려다가 통계 관련해서 기본 개념도 완전히 잊어버렸기 때문에 이번에 처음으로 생선님 인강을 들어봤어요!!

이번 강의를 듣고 왜 생선님이 유명하신지 확실히 깨달았네요!!

생선님 강의 덕분에 왜 제가 수능공부하던 당시 많이 틀렸던 문제들을 왜 틀렸는지 새삼 깨달았고 지금까지 잊고 있던 경우의 수에 대해 다시 공부할 수 있어서 좋았어요!!!

좋은 강의를 이렇게 무료로 들을 수 있게 해주셔서 감사합니다!!!",스페셜
6,정승제,23737,박*아,23.10.02,239,[2024 수능특강] 정승제의 확률과 통계,승제쌤 유튜브에서 보고,"승제쌤 안녕하세요! 유튜브(ㄲㄷㅎ)에서 쌤 영상 보고 쌤 강의 듣기 시작한 학생입니다!
제가 지금까지도 통계 개념이 전혀 안잡혀있었는데 쌤 강의와 함께 하며 레벨 3까지 전부 풀었습니다.
쌤 강의는 특히 개념 설명을 자세히 해주시는 점이 좋았습니다. 학습에 많은 도움 주셔서 감사합니다!

참고로, 가끔 목이 좀 쉰 남도일 목소리를 내시는게 너무 좋습니다. 그리고 노래도 너무 잘 부르세요.ㅎㅎ",스페셜
7,정승제,23737,박*영,23.09.18,646,[2024 수능특강] 정승제의 확률과 통계,세상에 채민조교님....,"조교님...결혼을... 하셨다굽쇼....? 얼굴만 보면 새내기 대학생이신데........세상에....... 강의 듣다 처음알아서 놀랍네요....
긴머리 너무 잘어울리세요......긴머리 고정해줘요.........생선님 조교님 늘 강의 잘보고있습니다 사랑함듀....🖤",5점
8,정승제,23737,이*희,23.09.16,99,[2024 수능특강] 정승제의 확률과 통계,화이팅,"50일 수학부터 선생님 강의 들었었는데 선생님 수업 너무 좋아해요
정말 잘 맞는 강의를 찾기 위해 다양한 수학 강의를 들어왔는데 수학 강의 들으면서 졸린 경우가 많았거든요 (제가 정신을 차리면 되긴 하지만..)
선생님은 오히려 목소리 톤도 다양하고 가끔 크게 말하실 때 놀랄 때도 있지만 잠도 확 깨고 더 집중도 되고 확실히 강조되는 느낌이고 좋아요!
그만큼 중요하다는 게 정말 잘 느껴집니다ㅎㅎ
수강후기에 상처 받지 않으시길 바랍니다ㅠ ㅠ
늘 풀이를 강조하시기 보단 사고 방식을 잘 설명해주셔서 기억에도 잘 남고 확실히 생각하는 힘이 생겨요
감사합니다!!",5점
9,정승제,23737,이*연,23.09.15,122,[2024 수능특강] 정승제의 확률과 통계,편지,"사랑합니다.
목 건강 챙기시고
오메가3 루테인도... 꼭꼭 챙겨 드세요.",5점
