,teacher,heart,reviewer,date,kinds,content_title,review_title,content,rated
0,박자영,5444,서*원,23.10.08,36,[핵심개념쏙쏙] 박자영의 수학(하),너무 천사같아요,선생님이 너무 착하고 글씨도 동그래요 목소리도 말랑말랑해요 살아 있는 천사예요 ,5점
1,박자영,5444,정*,23.09.13,59,[핵심개념쏙쏙] 박자영의 수학(하),질문있어요🤔,이 강좌에 수학(하) 개념 내용이 다 들어있는건가요??,5점
2,박자영,5444,유*빈,23.08.27,120,[핵심개념쏙쏙] 박자영의 수학(하),이쌤최고조아용😵,제가 수학노베라서 뭘 들을까 고민하고 또 찾아본 결과..! 자영쌤 강의를 발견해서 듣게 되었어용 고 1 1학기를 말아먹고.. 2학기에는 무조건 올린다 라는 생각으로 강의를 찾고 있었는데 뭔가 쌤이 끌리더라구요..👊 그래서 딱 들엇는데 ? 어머머 이게뭐야.. 너무 좋은거 있죠ㅠㅠㅠㅠ ! 진짜 설명 너무 잘하시고 너무 귀여우시고.. 볼때마다 흐뭇합니다 증말 ㅠㅠ😮 딴 쌤 강의들도 다 들어봤는데 자영쌤만한게 없드라구여..!!!! 진짜 최고예요 최고ㅠㅠㅠ 아직 다 못 들었지만 강의 열심히 듣겠습니다 ㅠㅠㅠㅠ 제가 처음 ㅜ수강후기 남기는 거 같은데 이걸 보시는 분들이 전부 자영쌤 강의를 들으면 좋겠네용 ㅎㅎ 아 그리고 양갈래 짱규ㅣ여워용!!!!! 엄청엄청 귀여으ㅓ요.  아 근데 약간 아쉬운 부분이 있다면.. 없는 부분이 있더라구요 ㅠㅠㅠ 예를 들어서 제가 배운 집합에는 집합사이의 포함 관계 내용이 있었는데 없어서 쪼금 당황했어요..🥲 혹시 제가 못 들은 거 일수도 있지만..! ㅠㅠㅠ 근데 강의내용은 정말 좋아용 ,5점
3,박자영,5444,홍*윤,23.07.24,107,"[2024 약점공략] 박자영의 수학Ⅰ, 기출로 하나부터 열까지",답지,"안녕하세요
채점을 먼저 하고 강의를 듣고 싶은데 답지를 만들어서 올려주실 수 있나요??",5점
4,박자영,5444,주*재,23.07.20,95,"[2024 약점공략] 박자영의 수학Ⅰ, 기출로 하나부터 열까지",선생님,"박자영선생님  약점공략을위해듣습니다감사합니다
안녕히계세요",5점
5,박자영,5444,백*종,23.07.19,145,"[2024 약점공략] 박자영의 수학Ⅰ, 기출로 하나부터 열까지",강의 교재 올려주세요,"선생님
강의 들으면서 정리하고 싶은데 강의 교재가 없습니다.
바쁘시더라도 강의 교재 탑재 부탁드립니다.",5점
6,박자영,5444,김*재,23.03.26,25,[2024 내신만점 수능특강] 박자영의 수학Ⅱ,3강,학습완료했습니당,5점
7,박자영,5444,허*정,23.03.24,77,[2024 내신만점 수능특강] 박자영의 수학Ⅱ,자영쌤ㅠㅠ,"오랜만이죠.... 고3 생활 시작됬는데 세상에나 정신이 없어요ㅠㅠㅠㅠ
제가 확통에는 관심이 생겨서  하고싶은데 쌤 강의중에 확통 강의 기초 추천 해주실수있나욤!!,??",5점
8,박자영,5444,김*정,23.03.23,37,[2024 내신만점 수능특강] 박자영의 수학Ⅱ,수학2,열심히 공부하겠습니다,스페셜
9,박자영,5444,김*정,23.03.19,40,[2024 내신만점 수능특강] 박자영의 수학Ⅱ,수강,수강합니다.~,5점
