0,1,2,3,4,5,6,7,8
김경한,191,김*정,23.06.30,112,[2024 수능 기출의 미래] 미적분,강의가 들을수록 더 좋아져요,"어릴적(초등~중등)에 수학학원을 다녔던 기억은 그리 좋지 못 했습니다.
과도하게 내주는 숙제와 단순 문제풀이를 반복시키는 방식의 수업으로 단기적인 성적을 올릴 수는 있었지만 여전히 수학이 어려운 과목이었고, 좋아하기 힘든 과목이었습니다.
선생님 강의를 듣다보니, 이런 기억은 제가 개념을 제대로 갖추지 못 한 채 학원 스케줄만 따라가려다 생긴 일이었겠다는 생각이 들었습니다.
문제 하나에 담긴 의미와, 공식 하나하나를 도출해내는 과정까지 친절하게 설명해 주시고, 내용별로 강약조절을 확실히 해주시는 덕분에 수학이라는 과목에 점차 자신감이 생기고 있습니다.
수기미 발전 강의를 들으려다가 아직 그러기에는 수학 실력이 많이 부족하다는 생각이 들어 선생님의 기본 강의를 듣게 되었는데, 그 때 선생님의 강의를 선택한 게 얼마나 잘 한 선택이었는지 매일 깨닫고 있습니다.
너무나도 좋은 강의 감사드리고, 꼭 좋은 소식으로 선생님께 보람을 안겨드리고 싶습니다!",스페셜
김경한,191,김*정,23.06.22,67,[2024 수능 기출의 미래] 미적분,선생님이 고도로 숙련된 마술사 같아요,"수업 내내 리듬감 넘치는 말투와 완벽한 판서로 혼을 쏙 빼놓으시는데 설명은 프로페셔널 하셔서 강의가 끝나면 내용이 머리에 다 들어와있어요.
특히 단권화는 효율이 낮다거나 문제접근 방식의 다양성 등의 현실적인 조언도 함께 해주셔서 좋아요.
좋은 강의 감사합니다!",5점
김경한,191,김*구,23.03.27,151,[2024 수능 기출의 미래] 미적분,정말 고맙습니다,"지금까지 강사분들은 자신의 90%만을 보여주고 10%는 안내비치는데 선생님은 정말로 95%를 내놓으시는군요
감사합니다.",스페셜
김경한,191,김*,23.03.17,87,[2024 수능 기출의 미래] 미적분,수학공부고민,"안녕하세요 저는 3년만에 재수를 결심하고 미적분 공부시작을 하였습니다.
이해가 잘 되지 않아 0.9배속으로 공부를 하고 있습니다.
수학공부가 가장 어려운것 같습니다... 다른 과목들에 비해 가장 손에 잘 잡히지 않는 과목인거 같습니다..
선생님, 저는 어떤 방식으로 공부하는게 효과적일까요? ",5점
김경한,191,a*********2,23.03.08,80,[2024 수능 기출의 미래] 미적분,감사합니다,작년에 수2 내신할때 학교 부교재라서 기출의미래 강의 수강했었는데 덕분에 내신 받기 힘든 학교였는데도 2등급 받았습니다  올해도 기출의미래 미적분이 부교재라서 강의 열심히 듣겠습니다 감사합니다!,5점
김경한,191,김*원,23.02.19,240,[2024 수능 기출의 미래] 미적분,EBS는 좋은 회사입니다.,"김경한 선생님 감사합니다.

7차 교육과정을 밟았던 30대 중반입니다.

새 도전을 위해 수능 준비를 하고 있습니다.

요즘 수능이 많이 어려워졌다길래 풀어봤는데 장난이 아니더군요...

그러다가 EBS 기출의 미래를 풀고

수I, 수II, 미적분 강의를 듣고 아주 감동받고 있습니다.

미적분 강의의 김경한 선생님께 또 특별히 감사의 표시를 하고 싶습니다.

삼각함수 극한 도형 문제에서 cosx '근사 개념'를 도입하실 때, 뭔가 싶더니

16강부터 갑자기 라이프니츠 미분 쓰시는 거 보고 기절할 뻔했습니다.

(편미분은 교육과정에서 빠졌나보군요.. 어쨌든..)

특히 항등식 합성함수랑 역함수 파트에서 매우 감동했습니다.

2000년대 초반 EBS랑 비교할 수가 없군요 ㅎㅎ

수능특강이랑 수능완성 강의도 있는지 궁금합니다.

다시 한번 감사합드립니다. 좋은 주말 되십시오.",스페셜
김경한,191,h*e,23.02.04,110,[2024 수능 기출의 미래] 미적분,수기미 미적 잘 들을게요,"오티와 1강 수강하였는데 아직 책이 안와서;..
처음 배우기 때문에 지금은 너무나 어려운 미적분이지만
앞으로 열심히 수강해서 수능 만점 노려보겠습니다",5점
고동국,79,이*경,23.08.05,45,[2024 수능 기출의 미래] 기하 (심화풀이),감사합니다...,"좋은 강의 찍어주셔서...
감사합니다...
도움이 많이 되었어요..",스페셜
고동국,79,이*희,23.01.26,162,[2024 수능 기출의 미래] 기하 (심화풀이),선생님께편지~),"선생님  즐거운저녁보내세요.~^^~)저 *윤이에요.)
아이디가달라서요.참고부탁드려요.)
선생님제꿈이ebs수능한국사강사에요.
응원많이해주세요.~)",5점
고동국,79,박*원,23.02.06,156,[올림포스 고난도] 수학(상),수강후기 + 질문!!🧡,"벌써 3번째 수강후기 ㅎㅎ
28강까지 다 듣고 복습하고 있습니닷!!
1강부터 28강까지 수업해 주신 동국쌤 너무 감사드리구🧡

혹시 29강부터 강의는 언제 올라오나요??
2월 넘어가기 전까지 얼른 부지런히 풀고 싶어서ㅠㅠ
하루라도 빨리 듣고 싶습니당!!!(´。＿。｀)
o(TヘTo)",스페셜
